order_id,date,customer_id,customer_name,city,zip_code,county,product_category,product_name,bottles_sold,order_amount,order_amount_sek,volume_sold_liters,volume_sold_gallons
INV-57085600011,2023-03-30,4829,CENTRAL CITY 2,DES MOINES,50314.0,POLK,AMERICAN VODKAS,MR BOSTON VODKA,12,63.0,630.0,12.0,3.17
INV-57107000006,2023-03-30,6278,ADVENTURELAND / ALTOONA,ALTOONA,50009.0,POLK,IMPORTED VODKAS,ABSOLUT SWEDISH VODKA 80PRF,6,179.94,1799.4,10.5,2.77
INV-57096000002,2023-03-30,4353,KUM & GO #302 / CLEAR LAKE,CLEAR LAKE,50428.0,CERRO GORDO,CANADIAN WHISKIES,BLACK VELVET,6,99.0,990.0,10.5,2.77
INV-57108000013,2023-03-30,3870,TARGET STORE T-1939 / ALTOONA,ALTOONA,50009.0,POLK,SPICED RUM,CAPTAIN MORGAN ORIGINAL SPICED,6,162.0,1620.0,10.5,2.77
INV-57094000010,2023-03-30,6003,CASEY'S GENERAL STORE #2298 / AMES,AMES,50010.0,STORY,WHISKEY LIQUEUR,FIREBALL CINNAMON WHISKEY MINI SLEEVE,48,309.6,3096.0,2.4,0.63
INV-57094400016,2023-03-30,3973,MMDG SPIRITS / AMES,AMES,50014.0,STORY,AMERICAN VODKAS,TITOS HANDMADE VODKA,24,474.24,4742.4,24.0,6.34
INV-57094800038,2023-03-30,4428,KUM & GO #200 / AMES,AMES,50014.0,STORY,AMERICAN FLAVORED VODKA,TRULY PINEAPPLE MANGO MINI,1,6.45,64.5,0.05,0.01
INV-57105100017,2023-03-30,4200,FAREWAY STORES #019 / SIOUX CITY,SIOUX CITY,51108.0,WOODBURY,FLAVORED RUM,CAPTAIN MORGAN CHERRY VANILLA,2,27.18,271.8,1.5,0.39
INV-57094700001,2023-03-30,5465,KUM & GO #1215 / AMES,AMES,50010.0,STORY,CANADIAN WHISKIES,CROWN ROYAL REGAL APPLE,4,50.96,509.6,1.5,0.39
INV-57103700004,2023-03-30,4147,FAREWAY STORES #974 / CEDAR FALLS,CEDAR FALLS,50613.0,BLACK HAWK,BLENDED WHISKIES,TWISTED TEA WHISKEY MINI,2,15.0,150.0,0.1,0.02
INV-57093400021,2023-03-30,4015,WAL-MART 0749 / AMES,AMES,50010.0,STORY,AMERICAN DRY GINS,NEW AMSTERDAM GIN,12,153.0,1530.0,9.0,2.37
INV-57102500059,2023-03-30,2538,HY-VEE FOOD STORE #3 (1866) / WATERLOO,WATERLOO,50702.0,BLACK HAWK,WHITE RUM,BACARDI SUPERIOR,2,9.0,90.0,0.4,0.1
INV-57090800110,2023-03-30,2588,HY-VEE FOOD AND DRUG #6 / CEDAR RAPIDS,CEDAR RAPIDS,52403.0,LINN,AGED DARK RUM,BUMBU RUM,1,27.75,277.5,0.75,0.19
INV-57100600077,2023-03-30,5651,SUPER QUICK MART / WINDSOR HEIGHTS,WINDSOR HEIGHTS,50324.0,POLK,WHISKEY LIQUEUR,FIREBALL CINNAMON WHISKEY,6,138.0,1380.0,10.5,2.77
INV-57089800004,2023-03-30,4503,CASEY'S GENERAL STORE #38 / TREYNOR,TREYNOR,51575.0,POTTAWATTAMIE,CANADIAN WHISKIES,BLACK VELVET,3,14.64,146.4,1.12,0.29
INV-57100900035,2023-03-30,5889,SUPER QUICK LIQUOR / WDM,WEST DES MOINES,50266.0,POLK,AMERICAN CORDIALS & LIQUEURS,KINKY PINK MINI,2,14.52,145.2,0.1,0.02
